# Exhaustive K rule/declaration inventory
source_files=26
inventory_items=937
category_counts={'claim': 2, 'configuration': 1, 'context': 5, 'rule': 699, 'syntax': 230}
flag_counts={'concrete': 35, 'function': 148, 'macro': 4, 'opaque/no-evaluators': 22, 'owise': 26, 'priority': 45, 'strictness': 2, 'symbol': 25, 'total': 108}
per_file_counts:
  /candidate/spec.k: {'claim': 2}
  /candidate/verification.k: {'flag:function': 3, 'flag:total': 1, 'rule': 4, 'syntax': 3}
  /reference/reference-semantics/semantics/assert.k: {'flag:priority': 1, 'rule': 3}
  /reference/reference-semantics/semantics/bool.k: {'context': 1, 'flag:priority': 5, 'rule': 13}
  /reference/reference-semantics/semantics/builtins.k: {'flag:function': 29, 'flag:opaque/no-evaluators': 1, 'flag:owise': 10, 'flag:priority': 1, 'flag:symbol': 1, 'flag:total': 22, 'rule': 137, 'syntax': 38}
  /reference/reference-semantics/semantics/call.k: {'flag:function': 1, 'flag:owise': 2, 'flag:priority': 5, 'flag:total': 1, 'rule': 21, 'syntax': 3}
  /reference/reference-semantics/semantics/comprehension.k: {'flag:macro': 3, 'rule': 7, 'syntax': 3}
  /reference/reference-semantics/semantics/concrete.k: {'flag:function': 3, 'flag:owise': 1, 'flag:priority': 2, 'flag:total': 1, 'rule': 16, 'syntax': 5}
  /reference/reference-semantics/semantics/controls.k: {'flag:owise': 3, 'flag:priority': 6, 'rule': 34, 'syntax': 3}
  /reference/reference-semantics/semantics/core.k: {'configuration': 1, 'flag:function': 15, 'flag:owise': 3, 'flag:priority': 2, 'flag:total': 10, 'rule': 46, 'syntax': 37}
  /reference/reference-semantics/semantics/dict.k: {'flag:function': 8, 'flag:owise': 1, 'flag:priority': 2, 'flag:total': 4, 'rule': 28, 'syntax': 12}
  /reference/reference-semantics/semantics/float.k: {'flag:concrete': 26, 'flag:function': 26, 'flag:opaque/no-evaluators': 19, 'flag:priority': 4, 'flag:symbol': 22, 'flag:total': 25, 'rule': 121, 'syntax': 34}
  /reference/reference-semantics/semantics/functions.k: {'flag:priority': 1, 'rule': 15, 'syntax': 4}
  /reference/reference-semantics/semantics/int.k: {'flag:function': 1, 'rule': 16, 'syntax': 1}
  /reference/reference-semantics/semantics/iter.k: {'syntax': 1}
  /reference/reference-semantics/semantics/list.k: {'flag:function': 3, 'flag:owise': 1, 'flag:priority': 2, 'flag:total': 2, 'rule': 27, 'syntax': 5}
  /reference/reference-semantics/semantics/methods.k: {'flag:function': 27, 'flag:owise': 4, 'flag:priority': 3, 'flag:total': 22, 'rule': 75, 'syntax': 27}
  /reference/reference-semantics/semantics/operators.k: {'context': 2, 'flag:owise': 1, 'flag:priority': 5, 'rule': 10}
  /reference/reference-semantics/semantics/range.k: {'flag:function': 2, 'flag:total': 1, 'rule': 6, 'syntax': 2}
  /reference/reference-semantics/semantics/set.k: {'flag:function': 5, 'flag:total': 5, 'rule': 12, 'syntax': 6}
  /reference/reference-semantics/semantics/sort.k: {'flag:concrete': 9, 'flag:function': 6, 'flag:opaque/no-evaluators': 2, 'flag:priority': 1, 'flag:symbol': 2, 'flag:total': 4, 'rule': 19, 'syntax': 6}
  /reference/reference-semantics/semantics/str.k: {'flag:function': 5, 'flag:total': 4, 'rule': 28, 'syntax': 5}
  /reference/reference-semantics/semantics/subscript.k: {'context': 2, 'flag:function': 13, 'flag:priority': 2, 'flag:total': 6, 'rule': 40, 'syntax': 15}
  /reference/reference-semantics/semantics/syntax.k: {'flag:macro': 1, 'flag:strictness': 2, 'syntax': 16}
  /reference/reference-semantics/semantics/tuple.k: {'flag:function': 1, 'flag:priority': 3, 'rule': 21, 'syntax': 4}

id	file	line	kind	flags	decision	complete_statement
K0830	/reference/reference-semantics/semantics/str.k	59	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp(">=", str(A:IntSeq), str(B:IntSeq)) => notBool strLt(A, B) endmodule
K0831	/reference/reference-semantics/semantics/subscript.k	11	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Val ::= valSeqAt(ValSeq, Int) [function, total]
K0832	/reference/reference-semantics/semantics/subscript.k	12	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule valSeqAt(vCons(V:Val, _:ValSeq), 0) => V
K0833	/reference/reference-semantics/semantics/subscript.k	13	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule valSeqAt(vCons(_:Val, S:ValSeq), I:Int) => valSeqAt(S, I -Int 1) requires I >Int 0
K0834	/reference/reference-semantics/semantics/subscript.k	16	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Int ::= intSeqAt(IntSeq, Int) [function]
K0835	/reference/reference-semantics/semantics/subscript.k	17	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule intSeqAt(iCons(C:Int, _:IntSeq), 0) => C
K0836	/reference/reference-semantics/semantics/subscript.k	18	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule intSeqAt(iCons(_:Int, S:IntSeq), I:Int) => intSeqAt(S, I -Int 1) requires I >Int 0
K0837	/reference/reference-semantics/semantics/subscript.k	21	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Int ::= normIdx(Int, Int) [function, total]
K0838	/reference/reference-semantics/semantics/subscript.k	22	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule normIdx(I:Int, LEN:Int) => I +Int LEN requires I <Int 0
K0839	/reference/reference-semantics/semantics/subscript.k	23	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule normIdx(I:Int, _:Int) => I requires I >=Int 0
K0840	/reference/reference-semantics/semantics/subscript.k	27	context	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	context Subscript(HOLE, _)
K0841	/reference/reference-semantics/semantics/subscript.k	28	context	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	context Subscript(_:Val, HOLE:Expr)
K0842	/reference/reference-semantics/semantics/subscript.k	31	rule	priority	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Subscript(ref(H:Int), IX:Index) => Subscript(V, IX) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0843	/reference/reference-semantics/semantics/subscript.k	35	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Subscript(OBJ:Val, I:Int) => applyIndex(OBJ, I) ... </k>
K0844	/reference/reference-semantics/semantics/subscript.k	37	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Val ::= applyIndex(Val, Int) [function]
K0845	/reference/reference-semantics/semantics/subscript.k	38	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyIndex(list(VS:ValSeq), I:Int) => valSeqAt(VS, normIdx(I, vsLen(VS)))
K0846	/reference/reference-semantics/semantics/subscript.k	39	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyIndex(tuple(VS:ValSeq), I:Int) => valSeqAt(VS, normIdx(I, vsLen(VS)))
K0847	/reference/reference-semantics/semantics/subscript.k	40	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyIndex(str(IS:IntSeq), I:Int) => str(iCons(intSeqAt(IS, normIdx(I, isLen(IS))), .IntSeq))
K0848	/reference/reference-semantics/semantics/subscript.k	44	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax KItem ::= #evalB(Bound) | "#toSome" | #slLo(Val, Bound, Bound) | #slHi(Val, OptInt, Bound) | #slStep(Val, OptInt, OptInt)
K0849	/reference/reference-semantics/semantics/subscript.k	49	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax OptInt ::= "noB" | someB(Int)
K0850	/reference/reference-semantics/semantics/subscript.k	50	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #evalB(NoBound) => noB ... </k>
K0851	/reference/reference-semantics/semantics/subscript.k	51	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #evalB(E:Expr) => E ~> #toSome ... </k>
K0852	/reference/reference-semantics/semantics/subscript.k	52	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> I:Int ~> #toSome => someB(I) ... </k>
K0853	/reference/reference-semantics/semantics/subscript.k	54	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Subscript(OBJ:Val, Slice(LO:Bound, HI:Bound, ST:Bound)) => #evalB(LO) ~> #slLo(OBJ, HI, ST) ... </k>
K0854	/reference/reference-semantics/semantics/subscript.k	55	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> LO:OptInt ~> #slLo(OBJ:Val, HI:Bound, ST:Bound) => #evalB(HI) ~> #slHi(OBJ, LO, ST) ... </k>
K0855	/reference/reference-semantics/semantics/subscript.k	56	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> HI:OptInt ~> #slHi(OBJ:Val, LO:OptInt, ST:Bound) => #evalB(ST) ~> #slStep(OBJ, LO, HI) ... </k>
K0856	/reference/reference-semantics/semantics/subscript.k	58	rule	priority	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> ST:OptInt ~> #slStep(list(VS:ValSeq), LO:OptInt, HI:OptInt) => #alloc(doSlice(list(VS), LO, HI, ST)) ... </k> [priority(45)]
K0857	/reference/reference-semantics/semantics/subscript.k	61	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> ST:OptInt ~> #slStep(OBJ:Val, LO:OptInt, HI:OptInt) => doSlice(OBJ, LO, HI, ST) ... </k>
K0858	/reference/reference-semantics/semantics/subscript.k	63	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Val ::= doSlice(Val, OptInt, OptInt, OptInt) [function]
K0859	/reference/reference-semantics/semantics/subscript.k	64	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule doSlice(list(VS:ValSeq), LO:OptInt, HI:OptInt, ST:OptInt) => list(buildVS(VS, slStart(LO, ST, vsLen(VS)), slStop(HI, ST, vsLen(VS)), slStep(ST)))
K0860	/reference/reference-semantics/semantics/subscript.k	66	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule doSlice(tuple(VS:ValSeq), LO:OptInt, HI:OptInt, ST:OptInt) => tuple(buildVS(VS, slStart(LO, ST, vsLen(VS)), slStop(HI, ST, vsLen(VS)), slStep(ST)))
K0861	/reference/reference-semantics/semantics/subscript.k	68	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule doSlice(str(IS:IntSeq), LO:OptInt, HI:OptInt, ST:OptInt) => str(buildIS(IS, slStart(LO, ST, isLen(IS)), slStop(HI, ST, isLen(IS)), slStep(ST)))
K0862	/reference/reference-semantics/semantics/subscript.k	72	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Int ::= slStep(OptInt) [function, total]
K0863	/reference/reference-semantics/semantics/subscript.k	73	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule slStep(noB) => 1
K0864	/reference/reference-semantics/semantics/subscript.k	74	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule slStep(someB(S:Int)) => S
K0865	/reference/reference-semantics/semantics/subscript.k	76	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Int ::= slStart(OptInt, OptInt, Int) [function]
K0866	/reference/reference-semantics/semantics/subscript.k	77	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule slStart(noB, ST:OptInt, _LEN:Int) => 0 requires slStep(ST) >Int 0
K0867	/reference/reference-semantics/semantics/subscript.k	79	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule slStart(noB, ST:OptInt, LEN:Int) => LEN -Int 1 requires slStep(ST) <Int 0
K0868	/reference/reference-semantics/semantics/subscript.k	81	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule slStart(someB(I:Int), ST:OptInt, LEN:Int) => slAdjust(I, LEN, slStep(ST))
K0869	/reference/reference-semantics/semantics/subscript.k	83	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Int ::= slStop(OptInt, OptInt, Int) [function]
K0870	/reference/reference-semantics/semantics/subscript.k	84	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule slStop(noB, ST:OptInt, LEN:Int) => LEN requires slStep(ST) >Int 0
K0871	/reference/reference-semantics/semantics/subscript.k	86	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule slStop(noB, ST:OptInt, _LEN:Int) => -1 requires slStep(ST) <Int 0
K0872	/reference/reference-semantics/semantics/subscript.k	88	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule slStop(someB(I:Int), ST:OptInt, LEN:Int) => slAdjust(I, LEN, slStep(ST))
K0873	/reference/reference-semantics/semantics/subscript.k	90	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Int ::= slAdjust(Int, Int, Int) [function, total]
K0874	/reference/reference-semantics/semantics/subscript.k	91	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule slAdjust(I:Int, LEN:Int, STEP:Int) => clampLo(I +Int LEN, STEP) requires I <Int 0
K0875	/reference/reference-semantics/semantics/subscript.k	93	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule slAdjust(I:Int, LEN:Int, STEP:Int) => clampHi(I, LEN, STEP) requires I >=Int 0
K0876	/reference/reference-semantics/semantics/subscript.k	96	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Int ::= clampLo(Int, Int) [function, total]
K0877	/reference/reference-semantics/semantics/subscript.k	97	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule clampLo(J:Int, _STEP:Int) => J requires J >=Int 0
K0878	/reference/reference-semantics/semantics/subscript.k	99	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule clampLo(J:Int, STEP:Int) => #if STEP <Int 0 #then -1 #else 0 #fi requires J <Int 0
K0879	/reference/reference-semantics/semantics/subscript.k	102	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Int ::= clampHi(Int, Int, Int) [function, total]
K0880	/reference/reference-semantics/semantics/subscript.k	103	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule clampHi(I:Int, LEN:Int, _STEP:Int) => I requires I <Int LEN
K0881	/reference/reference-semantics/semantics/subscript.k	105	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule clampHi(I:Int, LEN:Int, STEP:Int) => #if STEP <Int 0 #then LEN -Int 1 #else LEN #fi requires I >=Int LEN
K0882	/reference/reference-semantics/semantics/subscript.k	109	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax ValSeq ::= buildVS(ValSeq, Int, Int, Int) [function]
K0883	/reference/reference-semantics/semantics/subscript.k	110	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule buildVS(VS:ValSeq, I:Int, STOP:Int, STEP:Int) => vCons(valSeqAt(VS, I), buildVS(VS, I +Int STEP, STOP, STEP)) requires (STEP >Int 0 andBool I <Int STOP) orBool (STEP <Int 0 andBool I >Int STOP)
K0884	/reference/reference-semantics/semantics/subscript.k	113	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule buildVS(_:ValSeq, I:Int, STOP:Int, STEP:Int) => .ValSeq requires notBool ((STEP >Int 0 andBool I <Int STOP) orBool (STEP <Int 0 andBool I >Int STOP))
K0885	/reference/reference-semantics/semantics/subscript.k	116	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax IntSeq ::= buildIS(IntSeq, Int, Int, Int) [function]
K0886	/reference/reference-semantics/semantics/subscript.k	117	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule buildIS(IS:IntSeq, I:Int, STOP:Int, STEP:Int) => iCons(intSeqAt(IS, I), buildIS(IS, I +Int STEP, STOP, STEP)) requires (STEP >Int 0 andBool I <Int STOP) orBool (STEP <Int 0 andBool I >Int STOP)
K0887	/reference/reference-semantics/semantics/subscript.k	120	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule buildIS(_:IntSeq, I:Int, STOP:Int, STEP:Int) => .IntSeq requires notBool ((STEP >Int 0 andBool I <Int STOP) orBool (STEP <Int 0 andBool I >Int STOP)) endmodule
K0888	/reference/reference-semantics/semantics/syntax.k	9	syntax	macro,strictness	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Expr ::= "Int" "(" Int ")" | "Float" "(" Float ")" | "Bool" "(" Bool ")" | "Name" "(" String ")" | "Str" "(" String ")" | "UnaryOp" "(" String "," Expr ")" [strict(2)] | "BinOp" "(" String "," Expr "," Expr ")" [seqstrict(2, 3)] | "BoolOp" "(" String "," Exprs ")" | "ListExpr" "(" Exprs ")" | "DictExpr" "(" Entries ")" | "ListComp" "(" Expr "," CompFors ")" [macro] | "GenExp" "(" Expr "," CompFors ")" [macro] | "TupleExpr" "(" Exprs ")" | "Subscript" "(" Expr "," Index ")" | "IfExp" "(" Expr "," Expr "," Expr ")" [strict(1)] | "Lambda" "(" Params "," Expr ")" | "KwArg" "(" String "," Expr ")" | "Lambda" "(" Params "," CellVars "," FreeVars "," Expr ")" | "NoneVal" | "Call" "(" Expr "," Exprs ")" | "Attribute" "(" Expr "," String ")" [strict(1)] | "Compare" "(" Expr "," CmpOp ")"
K0889	/reference/reference-semantics/semantics/syntax.k	32	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax CmpOp ::= "CmpOp" "(" String "," Expr ")"
K0890	/reference/reference-semantics/semantics/syntax.k	33	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Entry ::= "Entry" "(" Expr "," Expr ")"
K0891	/reference/reference-semantics/semantics/syntax.k	34	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Entries ::= List{Entry, ","}
K0892	/reference/reference-semantics/semantics/syntax.k	35	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax CompFor ::= "CompFor" "(" Expr "," Expr "," Exprs ")"
K0893	/reference/reference-semantics/semantics/syntax.k	36	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax CompFors ::= List{CompFor, ""}
K0894	/reference/reference-semantics/semantics/syntax.k	37	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Exprs ::= List{Expr, ","}
K0895	/reference/reference-semantics/semantics/syntax.k	38	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Index ::= Expr | "Slice" "(" Bound "," Bound "," Bound ")"
K0896	/reference/reference-semantics/semantics/syntax.k	39	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Bound ::= Expr | "NoBound"
K0897	/reference/reference-semantics/semantics/syntax.k	41	syntax	strictness	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Stmt ::= "Assign" "(" Expr "," Expr ")" [strict(2)] | "Import" "(" String ")" | "ImportFrom" "(" String "," ParamNames ")" | "AugAssign" "(" Expr "," String "," Expr ")" [strict(3)] | "For" "(" Expr "," Expr "," Stmts ")" [strict(2)] | "While" "(" Expr "," Stmts ")" | "Break" | "Continue" | "If" "(" Expr "," Stmts "," Stmts ")" [strict(1)] | "Return" "(" Expr ")" [strict] | "Assert" "(" Expr ")" [strict] | "Expr" "(" Expr ")" [strict] | "FuncDef" "(" String "," Params "," Stmts ")" | "FuncDef" "(" String "," Params "," CellVars "," FreeVars "," Stmts ")"
K0898	/reference/reference-semantics/semantics/syntax.k	56	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Stmts ::= List{Stmt, ""}
K0899	/reference/reference-semantics/semantics/syntax.k	57	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Params ::= "Params" "(" ParamNames ")"
K0900	/reference/reference-semantics/semantics/syntax.k	58	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax CellVars ::= "CellVars" "(" ParamNames ")"
K0901	/reference/reference-semantics/semantics/syntax.k	59	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax FreeVars ::= "FreeVars" "(" ParamNames ")"
K0902	/reference/reference-semantics/semantics/syntax.k	60	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax ParamNames ::= List{String, ","}
K0903	/reference/reference-semantics/semantics/syntax.k	61	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Module ::= "Module" "(" Stmts ")" endmodule
K0904	/reference/reference-semantics/semantics/tuple.k	10	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #iterNext(tuple(.ValSeq)) => #iterDone ... </k>
K0905	/reference/reference-semantics/semantics/tuple.k	11	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #iterNext(tuple(vCons(V:Val, R:ValSeq))) => #iterYield(V, tuple(R)) ... </k>
K0906	/reference/reference-semantics/semantics/tuple.k	14	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax ApplyK ::= "toTuple"
K0907	/reference/reference-semantics/semantics/tuple.k	15	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> TupleExpr(ES:Exprs) => #evalArgs(ES, .Vals, toTuple) ... </k>
K0908	/reference/reference-semantics/semantics/tuple.k	16	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #applyK(toTuple, ACC:Vals) => tuple(vals2valSeq(ACC)) ... </k>
K0909	/reference/reference-semantics/semantics/tuple.k	18	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("==", tuple(A:ValSeq), tuple(B:ValSeq)) => A ==K B
K0910	/reference/reference-semantics/semantics/tuple.k	20	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Compare(LV:Val, CmpOp("in", tuple(VS:ValSeq))) => #memberAcc(LV, tuple(VS)) ... </k>
K0911	/reference/reference-semantics/semantics/tuple.k	21	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Compare(LV:Val, CmpOp("not in", tuple(VS:ValSeq))) => #memberAcc(LV, tuple(VS)) ~> #notB ... </k>
K0912	/reference/reference-semantics/semantics/tuple.k	23	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyMethod(tuple(VS:ValSeq), "index", V:Val, .Vals) => idxOfVS(VS, V, 0)
K0913	/reference/reference-semantics/semantics/tuple.k	24	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Int ::= idxOfVS(ValSeq, Val, Int) [function]
K0914	/reference/reference-semantics/semantics/tuple.k	25	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule idxOfVS(vCons(A:Val, _:ValSeq), V:Val, I:Int) => I requires A ==K V
K0915	/reference/reference-semantics/semantics/tuple.k	26	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule idxOfVS(vCons(A:Val, R:ValSeq), V:Val, I:Int) => idxOfVS(R, V, I +Int 1) requires notBool (A ==K V)
K0916	/reference/reference-semantics/semantics/tuple.k	28	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("!=", tuple(A:ValSeq), tuple(B:ValSeq)) => notBool (A ==K B)
K0917	/reference/reference-semantics/semantics/tuple.k	31	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax KItem ::= #bindTgt(Expr, Val)
K0918	/reference/reference-semantics/semantics/tuple.k	32	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #bindTgt(Name(X:String), V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- V ], _) ... </scopes>
